prefecture,city,number,address,name,lat,long,note
埼玉県,東秩父村,1-1,大字安戸33,個人宅敷地内,36.046879,139.21582,緯度経度は怪しい
埼玉県,東秩父村,1-2,大字安戸58-1,個人所有駐車場,36.046879,139.21582,緯度経度は怪しい
埼玉県,東秩父村,1-3,大字安戸434-1,高齢者生きがいセンタ-前,36.046879,139.21582,緯度経度は怪しい
埼玉県,東秩父村,1-4,大字安戸275-1先,個人宅脇,36.046879,139.21582,緯度経度は怪しい
埼玉県,東秩父村,1-5,大字安戸440,個人宅裏,36.046879,139.21582,緯度経度は怪しい
埼玉県,東秩父村,1-6,大字安戸627-1,東秩父消防団１－１（安戸）詰所脇,36.046879,139.21582,緯度経度は怪しい
埼玉県,東秩父村,1-7,大字安戸526-1,旧貨村置場脇,36.046879,139.21582,緯度経度は怪しい
埼玉県,東秩父村,1-8,大字安戸880-5,帯沢消防車庫脇,36.046879,139.21582,緯度経度は怪しい
埼玉県,東秩父村,2-1,大字御堂47-1,個人宅前畑,None,None,緯度経度は怪しい
埼玉県,東秩父村,2-2,大字御堂216-5,川下農村文化センタ-村道向い側地,36.040379,139.190857,緯度経度は怪しい
埼玉県,東秩父村,2-3,大字御堂374-1先,陣川橋起点の植え込み,36.040379,139.190857,緯度経度は怪しい
埼玉県,東秩父村,2-4,大字奥沢13,個人宅県道向い側畑,36.061592,139.196503,緯度経度は怪しい
埼玉県,東秩父村,2-5,大字御堂634,役場敷地内,None,None,緯度経度は怪しい
埼玉県,東秩父村,2-6,大字奥沢214,個人宅前,36.061592,139.196503,緯度経度は怪しい
埼玉県,東秩父村,2-7,大字奥沢364-2,個人宅前畑,36.061592,139.196503,緯度経度は怪しい
埼玉県,東秩父村,2-8,大字御堂1399-2,フィッシングセンタ-跡地前,36.040379,139.190857,緯度経度は怪しい
埼玉県,東秩父村,2-9,大字御堂1139-1,萩平集荷所（常光寺下）,36.040379,139.190857,緯度経度は怪しい
埼玉県,東秩父村,2-10,大字御堂1302-4先,萩林林道起点付近,36.040379,139.190857,緯度経度は怪しい
埼玉県,東秩父村,3-1,大字坂本92-1,個人宅前畑,36.056038,139.17128,緯度経度は怪しい
埼玉県,東秩父村,3-2,大字坂本58-1,個人宅駐車場,36.056038,139.17128,緯度経度は怪しい
埼玉県,東秩父村,3-3,大字坂本1199-1,上ノ山入口（案内版脇）,36.056038,139.17128,緯度経度は怪しい
埼玉県,東秩父村,3-4,大字坂本1215-1,時計店駐車場,None,None,緯度経度は怪しい
埼玉県,東秩父村,3-5,大字坂本1284-1,東秩父村保健センタ-内,36.056038,139.17128,緯度経度は怪しい
埼玉県,東秩父村,3-6,大字坂本1561先,東秩父村ふれあいセンタ-槻川入口,36.056038,139.17128,緯度経度は怪しい
埼玉県,東秩父村,3-7,大字坂本1393-1,柴入口(位置情報が見つかりませんでした),36.056038,139.17128,緯度経度は怪しい
埼玉県,東秩父村,3-8,大字坂本1452,栗和田入口（橋場）,36.056038,139.17128,緯度経度は怪しい
埼玉県,東秩父村,4-1,大字大内沢3-1,大内沢みかん園駐車場,36.081203,139.166946,緯度経度は怪しい
埼玉県,東秩父村,4-2,大字大内沢218-1,居用橋際,36.081203,139.166946,緯度経度は怪しい
埼玉県,東秩父村,4-3,大字大内沢689-4,東秩父村ふるさと館入口,36.081203,139.166946,緯度経度は怪しい
埼玉県,東秩父村,4-4,大字大内沢733-1,モ-タ-ハウスのぐち前,36.081203,139.166946,緯度経度は怪しい
埼玉県,東秩父村,4-5,大字大内沢1222-1,井戸センタ-敷地内,None,None,緯度経度は怪しい
埼玉県,東秩父村,4-6,大字大内沢1301-4,上ノ貝戸入口,36.081203,139.166946,緯度経度は怪しい
埼玉県,東秩父村,4-7,大字大内沢1311-1,大宝入口,None,None,緯度経度は怪しい
埼玉県,東秩父村,5-1,大字皆谷8-3,個人宅車庫脇,36.03878,139.170425,緯度経度は怪しい
埼玉県,東秩父村,5-2,大字皆谷37-3,小安戸入口,36.03878,139.170425,緯度経度は怪しい
埼玉県,東秩父村,5-3,大字皆谷83-2,皆谷集落農業センタ-駐車場,36.03878,139.170425,緯度経度は怪しい
埼玉県,東秩父村,5-4,大字皆谷127-3,ヤマメの里公園駐車場脇,36.03878,139.170425,緯度経度は怪しい
埼玉県,東秩父村,5-5,大字皆谷726-26,個人宅入口上,36.03878,139.170425,緯度経度は怪しい
埼玉県,東秩父村,5-6,大字皆谷541,旧朝日根飼育所前,36.03878,139.170425,緯度経度は怪しい
埼玉県,東秩父村,5-7,大字白石16-1,個人宅前畑(位置情報が見つかりませんでした),36.014748,139.175339,緯度経度は怪しい
埼玉県,東秩父村,5-8,大字白石220,旧児童遊園地,36.014748,139.175339,緯度経度は怪しい
埼玉県,東秩父村,5-9,大字白石768-1,白石農村センタ-敷地内,36.014748,139.175339,緯度経度は怪しい
埼玉県,東秩父村,5-10,大字白石718,個人所有駐車場,36.014748,139.175339,緯度経度は怪しい
