投票区,投票所施設名,設置場所,所在地番,地図リンク,緯度,経度
第1投票区,幌別小学校,登別市役所前,中央町6丁目11番地,"https://mapfan.com/map?c=42.412952742850194,141.10610629879056,18&s=std,pc,ja",42.412952742850194,141.10610629879056
第1投票区,幌別小学校,幌別児童館横,中央町6丁目19番地1,"https://mapfan.com/map?c=42.41305054555568,141.1075762830814,18&s=std,pc,ja",42.41305054555568,141.1075762830814
第1投票区,幌別小学校,幌別駅西口階段横,中央町2丁目20番地7,"https://mapfan.com/map?c=42.41026841227645,141.1075211640457,18&s=std,pc,ja",42.41026841227645,141.1075211640457
第1投票区,幌別小学校,らいば公園前,登別市中央町４丁目,https://mapfan.to/3ykVt1O,,
第2投票区,鉄南ふれあいセンター,鉄南ふれあいセンター前,幌別町3丁目17番地1,"https://mapfan.com/map?c=42.41125267707554,141.11072915694882,18&s=std,pc,ja",42.41125267707554,141.11072915694882
第2投票区,鉄南ふれあいセンター,旧幌別東小学校校門横,幌別町8丁目16番地1,"https://mapfan.com/map?c=42.41622609456681,141.11779141328463,18&s=std,pc,ja",42.41622609456681,141.11779141328463
第3投票区,緑寿の家,桜木の家入口,桜木町2丁目15番地18,"https://mapfan.com/map?c=42.40471729657261,141.09034283039054,18&s=std,pc,ja",42.40471729657261,141.09034283039054
第3投票区,緑寿の家,緑寿の家前,緑町1丁目2番地4,"https://mapfan.com/map?c=42.399376321343595,141.09176222832943,18&s=std,pc,ja",42.399376321343595,141.09176222832943
第4投票区,ねむの木の家,ねむの木の家,新川町3丁目6番地2,"https://mapfan.com/map?c=42.40799422143036,141.09502755912595,18&s=std,pc,ja",42.40799422143036,141.09502755912595
第4投票区,ねむの木の家,道営新川団地入口,新川町4丁目47番地１地先,"https://mapfan.com/map?c=42.41097075093151,141.0951992205029,18&s=std,pc,ja",42.41097075093151,141.0951992205029
第4投票区,ねむの木の家,かえで公園前,新川町4丁目1番地4地先,"https://mapfan.com/map?c=42.410214799184274,141.09116632551633,18&s=std,pc,ja",42.410214799184274,141.09116632551633
第5投票区,富士会館,富士3丁目広場前,富士町3丁目17番地1,"https://mapfan.com/map?c=42.40981848375037,141.09872520163,18&s=std,pc,ja",42.40981848375037,141.09872520163
第5投票区,富士会館,富士会館前,富士町7丁目2番地1,"https://mapfan.com/map?c=42.41481365707821,141.0985721268046,18&s=std,pc,ja",42.41481365707821,141.0985721268046
第5投票区,富士会館,老人福祉センター横,富士町7丁目11番地1,"https://mapfan.com/map?c=42.41312702370371,141.09649073260914,18&s=std,pc,ja",42.41312702370371,141.09649073260914
第5投票区,富士会館,市民会館駐車場前,富士町7丁目33番地1,"https://mapfan.com/map?c=42.41386962323759,141.09413038867603,18&s=std,pc,ja",42.41386962323759,141.09413038867603
第6投票区,幌別中学校,旧労働福祉センター駐車場前,千歳町3丁目1番地8,"https://mapfan.com/map?c=42.41568887870088,141.11032970817803,18&s=std,pc,ja",42.41568887870088,141.11032970817803
第6投票区,幌別中学校,ニナルカの里向,千歳町4丁目10番地7,"https://mapfan.com/map?c=42.41947492130731,141.11494242962024,18&s=std,pc,ja",42.41947492130731,141.11494242962024
